id,name,brand,category,description,price,rating,stock,tags
1,BookWorm Snacks,BookWorm,Food,Delicious bookworm snacks made with high-quality ingredients. Sugar-free option available.,779.92,3.9,16,"['food', 'bookworm', 'bookworm', 'snacks']"
2,SportElite Dress,SportElite,Clothing,Stylish sportelite dress made with premium materials. Ideal for formal wear.,670.59,4.0,16,"['clothing', 'sportelite', 'sportelite', 'dress']"
3,FoodDelight Building Blocks,FoodDelight,Toys,Fun and educational fooddelight building blocks for children. Enhances creativity.,541.86,5.0,28,"['toys', 'fooddelight', 'fooddelight', 'building', 'blocks']"
4,BookWorm Smartphone,BookWorm,Electronics,High-quality bookworm smartphone with advanced features. Perfect for everyday use.,938.23,4.6,33,"['electronics', 'bookworm', 'bookworm', 'smartphone']"
5,ToyWorld Fitness Tracker,ToyWorld,Sports,Professional-grade toyworld fitness tracker designed for intermediates.,972.67,3.5,93,"['sports', 'toyworld', 'toyworld', 'fitness', 'tracker']"
6,TechPro Plant Pot,TechPro,Home & Garden,Beautiful techpro plant pot to enhance your living space. Made with premium materials.,974.44,4.6,76,"['home & garden', 'techpro', 'techpro', 'plant']"
7,Biography Book: Forever Love,ToyWorld,Books,Captivating biography book that will keep you engaged from start to finish. Written by a bestselling author.,159.2,4.2,5,"['books', 'toyworld', 'biography', 'book:', 'forever', 'love']"
8,BeautyGlow Tablet,BeautyGlow,Electronics,High-quality beautyglow tablet with advanced features. Perfect for students.,55.45,4.9,6,"['electronics', 'beautyglow', 'beautyglow', 'tablet']"
9,HomeEssentials Chair,HomeEssentials,Home & Garden,Beautiful homeessentials chair to enhance your living space. Made with durable materials.,93.35,3.5,38,"['home & garden', 'homeessentials', 'homeessentials', 'chair']"
10,HomeEssentials Dress,HomeEssentials,Clothing,Stylish homeessentials dress made with premium materials. Ideal for special occasions wear.,696.78,4.0,75,"['clothing', 'homeessentials', 'homeessentials', 'dress']"
11,SportElite Action Figure,SportElite,Toys,Fun and educational sportelite action figure for children. Enhances creativity.,420.95,3.2,55,"['toys', 'sportelite', 'sportelite', 'action', 'figure']"
12,ToyWorld Shampoo,ToyWorld,Beauty,Premium toyworld shampoo with organic ingredients for youthful skin.,986.56,5.0,80,"['beauty', 'toyworld', 'toyworld', 'shampoo']"
13,TechPro Jacket,TechPro,Clothing,Stylish techpro jacket made with premium materials. Ideal for formal wear.,29.45,3.6,93,"['clothing', 'techpro', 'techpro', 'jacket']"
14,FoodDelight Smartphone,FoodDelight,Electronics,High-quality fooddelight smartphone with advanced features. Perfect for students.,628.65,3.7,74,"['electronics', 'fooddelight', 'fooddelight', 'smartphone']"
15,BeautyGlow Table,BeautyGlow,Home & Garden,Beautiful beautyglow table to enhance your living space. Made with sustainable materials.,619.64,3.5,66,"['home & garden', 'beautyglow', 'beautyglow', 'table']"
16,Biography Book: The Hidden Truth,HomeEssentials,Books,Captivating biography book that will keep you engaged from start to finish. Written by a bestselling author.,372.01,3.5,93,"['books', 'homeessentials', 'biography', 'book:', 'hidden', 'truth']"
17,ToyWorld Smartwatch,ToyWorld,Electronics,High-quality toyworld smartwatch with advanced features. Perfect for everyday use.,101.72,4.5,90,"['electronics', 'toyworld', 'toyworld', 'smartwatch']"
18,HomeEssentials Smartwatch,HomeEssentials,Electronics,High-quality homeessentials smartwatch with advanced features. Perfect for professionals.,213.29,3.1,85,"['electronics', 'homeessentials', 'homeessentials', 'smartwatch']"
